# r(kpc)                A2_0                    zh2                    phase2   A4_0                    zh4                    phase4   A6_0                     zh6                    phase6  
  0.0                   0.0                     0.05                   0.0      0.0                     0.025                  0.0      0.0                      0.05                   0.0     
  0.01                  8.540081175306619E-4    0.05450000000000001    0.0      2.6426598060895225E-9   0.029500000000000002   0.0      1.1165639335906131E-13   0.05450000000000001    0.0     
  0.02                  0.001485581112324427    0.059000000000000004   0.0      2.2254938515135475E-8   0.034                  0.0      3.429563442357667E-12    0.059000000000000004   0.0     
  0.03                  0.002050813678085694    0.0635                 0.0      7.714011259286362E-8    0.0385                 0.0      2.5293886299379923E-11   0.0635                 0.0     
  0.04                  0.0025754172554416227   0.068                  0.0      1.85903627223366E-7     0.043000000000000003   0.0      1.0402104754677858E-10   0.068                  0.0     
  0.05                  0.003070741847770986    0.07250000000000001    0.0      3.6711589412846504E-7   0.0475                 0.0      3.1061844983524944E-10   0.07250000000000001    0.0     
  0.06                  0.003543158464272097    0.077                  0.0      6.391594488672631E-7    0.052000000000000005   0.0      7.575500699540247E-10    0.077                  0.0     
  0.07                  0.003996729390134618    0.08150000000000002    0.0      1.0201403959041008E-6   0.05650000000000001    0.0      1.6066449272078667E-9    0.08150000000000002    0.0     
  0.08                  0.004434262238837028    0.08600000000000001    0.0      1.52783132368276E-6     0.061000000000000006   0.0      3.0762144736518075E-9    0.08600000000000001    0.0     
  0.09                  0.004857809218441012    0.0905                 0.0      2.1796322755472016E-6   0.0655                 0.0      5.447432436575461E-9     0.0905                 0.0     
  0.1                   0.005268933643251627    0.095                  0.0      2.9925431449213473E-6   0.07                   0.0      9.070023210279394E-9     0.095                  0.0     
  0.11                  0.0056688648792316875   0.0995                 0.0      3.983143801130371E-6    0.07450000000000001    0.0      1.4367299900700096E-8    0.0995                 0.0     
  0.12                  0.006058594417121887    0.10400000000000001    0.0      5.167579709792616E-6    0.079                  0.0      2.1840589477317874E-8    0.10400000000000001    0.0     
  0.13                  0.006438938523762522    0.10850000000000001    0.0      6.561551607395947E-6    0.0835                 0.0      3.207307965198019E-8     0.10850000000000001    0.0     
  0.14                  0.006810580793744248    0.11300000000000002    0.0      8.180308256369037E-6    0.08800000000000002    0.0      4.573311979878101E-8     0.11300000000000002    0.0     
  0.15                  0.007174102034662698    0.11750000000000001    0.0      1.003864159650417E-5    0.0925                 0.0      6.357700628728836E-8     0.11750000000000001    0.0     
  0.16                  0.007530001855029548    0.12200000000000001    0.0      1.2150883796548402E-5   0.097                  0.0      8.645128092091473E-8     0.12200000000000001    0.0     
  0.17                  0.007878714636485469    0.1265                 0.0      1.453090583644015E-5    0.1015                 0.0      1.1529456968677505E-7    0.1265                 0.0     
  0.18                  0.008220621597691415    0.131                  0.0      1.719211733874276E-5    0.10600000000000001    0.0      1.5113898768823896E-7    0.131                  0.0     
  0.19                  0.008556060071683429    0.1355                 0.0      2.014746743073259E-5    0.11050000000000001    0.0      1.9511113491534291E-7    0.1355                 0.0     
  0.2                   0.008885330754114316    0.14                   0.0      2.3409446464580037E-5   0.11500000000000002    0.0      2.484327063888527E-7     0.14                   0.0     
  0.21                  0.009208703446166939    0.14450000000000002    0.0      2.6990088457357678E-5   0.1195                 0.0      3.124207391745453E-7     0.14450000000000002    0.0     
  0.22                  0.009526421662092818    0.14900000000000002    0.0      3.0900974138647174E-5   0.124                  0.0      3.88487517792739E-7      0.14900000000000002    0.0     
  0.23                  0.009838706367643547    0.15350000000000003    0.0      3.515323451360136E-5    0.1285                 0.0      4.781401586347199E-7     0.15350000000000003    0.0     
  0.24                  0.010145759044298007    0.158                  0.0      3.975755486502816E-5    0.133                  0.0      5.829798931349518E-7     0.158                  0.0     
  0.25                  0.010447764224138864    0.1625                 0.0      4.472417913051116E-5    0.1375                 0.0      7.0470106862992E-7       0.1625                 0.0     
  0.26                  0.010744891604530115    0.167                  0.0      5.006291460055654E-5    0.14200000000000002    0.0      8.450898850563038E-7     0.167                  0.0     
  0.27                  0.01103729782588501     0.1715                 0.0      5.5783136891834874E-5   0.14650000000000002    0.0      1.0060228848989946E-6    0.1715                 0.0     
  0.28                  0.011325127976813797    0.17600000000000005    0.0      6.189379515619014E-5    0.15100000000000002    0.0      1.1894652130900067E-6    0.17600000000000005    0.0     
  0.29                  0.011608516876801684    0.1805                 0.0      6.840341749153634E-5    0.1555                 0.0      1.397468662879873E-6     0.1805                 0.0     
  0.3                   0.011887590175919904    0.185                  0.0      7.532011652528758E-5    0.16                   0.0      1.632169523051258E-6     0.185                  0.0     
  0.31                  0.012162465302967353    0.1895                 0.0      8.265159514476293E-5    0.1645                 0.0      1.8957862412184764E-6    0.1895                 0.0     
  0.32                  0.012433252287206643    0.194                  0.0      9.04051523522033E-5     0.169                  0.0      2.190616917354437E-6     0.194                  0.0     
  0.33                  0.012700054474019314    0.1985                 0.0      9.858768922475151E-5    0.17350000000000002    0.0      2.5190366411069E-6       0.1985                 0.0     
  0.34                  0.012962969151015977    0.203                  0.0      1.0720571496206609E-4   0.17800000000000002    0.0      2.8834946859075646E-6    0.203                  0.0     
  0.35000000000000003   0.01322208809814504     0.20750000000000002    0.0      1.1626535300622255E-4   0.18250000000000002    0.0      3.2865115723389168E-6    0.20750000000000002    0.0     
  0.36                  0.013477498072964179    0.21200000000000002    0.0      1.2577234722027834E-4   0.187                  0.0      3.730676012704502E-6     0.21200000000000002    0.0     
  0.37                  0.013729281240331445    0.21650000000000003    0.0      1.3573206811335993E-4   0.1915                 0.0      4.2186417482467966E-6    0.21650000000000003    0.0     
  0.38                  0.013977515554234892    0.22100000000000003    0.0      1.461495191014282E-4    0.196                  0.0      4.753124289972649E-6     0.22100000000000003    0.0     
  0.39                  0.014222275098230885    0.22550000000000003    0.0      1.5702934279401048E-4   0.2005                 0.0      5.336897573578596E-6     0.22550000000000003    0.0     
  0.4                   0.01446363038994175     0.23000000000000004    0.0      1.6837582729818527E-4   0.20500000000000002    0.0      5.972790538516367E-6     0.23000000000000004    0.0     
  0.41000000000000003   0.01470164865422588     0.23450000000000004    0.0      1.8019291253197574E-4   0.20950000000000002    0.0      6.663683640801876E-6     0.23450000000000004    0.0     
  0.42                  0.014936394068942326    0.239                  0.0      1.924841965400908E-4    0.214                  0.0      7.412505308748667E-6     0.239                  0.0     
  0.43                  0.01516792798665828     0.2435                 0.0      2.0525294180563885E-4   0.2185                 0.0      8.222228350398523E-6     0.2435                 0.0     
  0.44                  0.01539630913516942     0.248                  0.0      2.185020815520464E-4    0.223                  0.0      9.095866321026479E-6     0.248                  0.0     
  0.45                  0.015621593799302799    0.2525                 0.0      2.322342260299703E-4    0.2275                 0.0      1.0036469858715906E-5    0.2525                 0.0     
  0.46                  0.01584383598613492     0.257                  0.0      2.46451668784476E-4     0.232                  0.0      1.1047122995629624E-5    0.257                  0.0     
  0.47000000000000003   0.01606308757547296     0.2615                 0.0      2.6115639289819273E-4   0.23650000000000002    0.0      1.2130939452245215E-5    0.2615                 0.0     
  0.48                  0.016279398457205954    0.266                  0.0      2.763500772065598E-4    0.241                  0.0      1.3291058921477493E-5    0.266                  0.0     
  0.49                  0.01649281665692728     0.2705                 0.0      2.9203410248162745E-4   0.2455                 0.0      1.453064334927606E-5     0.2705                 0.0     
  0.5                   0.016703388451054263    0.275                  0.0      3.0820955758120223E-4   0.25                   0.0      1.5852873217962548E-5    0.275                  0.0     
  0.51                  0.01691115847252051     0.2795                 0.0      3.248772455604246E-4    0.2545                 0.0      1.7260943838259418E-5    0.2795                 0.0     
  0.52                  0.01711616980798699     0.28400000000000003    0.0      3.4203768974311945E-4   0.259                  0.0      1.8758061655658764E-5    0.28400000000000003    0.0     
  0.53                  0.01731846408740662     0.28850000000000003    0.0      3.5969113975051865E-4   0.2635                 0.0      2.0347440576487826E-5    0.28850000000000003    0.0     
  0.54                  0.01751808156668025     0.29300000000000004    0.0      3.7783757748516153E-4   0.268                  0.0      2.2032298318743838E-5    0.29300000000000004    0.0     
  0.55                  0.01771506120405848     0.29750000000000004    0.0      3.964767230679883E-4    0.2725                 0.0      2.381585279249785E-5     0.29750000000000004    0.0     
  0.56                  0.01790944073087059     0.30200000000000005    0.0      4.1560804072682635E-4   0.2770000000000001     0.0      2.5701318514402397E-5    0.30200000000000005    0.0     
  0.5700000000000001    0.018101256717098363    0.30650000000000005    0.0      4.352307446346301E-4    0.2815000000000001     0.0      2.769190306058136E-5     0.30650000000000005    0.0     
  0.58                  0.018290544632257023    0.311                  0.0      4.553438046960028E-4    0.28600000000000003    0.0      2.9790803561934726E-5    0.311                  0.0     
  0.59                  0.018477338901996442    0.3155                 0.0      4.7594595228066125E-4   0.29050000000000004    0.0      3.2001203245650325E-5    0.3155                 0.0     
  0.6                   0.01866167296079318     0.32                   0.0      4.970356859026355E-4    0.29500000000000004    0.0      3.43262680264849E-5      0.32                   0.0     
  0.61                  0.018843579301065908    0.3245                 0.0      5.186112768441274E-4    0.29950000000000004    0.0      3.6769143151153833E-5    0.3245                 0.0     
  0.62                  0.019023089519013478    0.329                  0.0      5.406707747230448E-4    0.30400000000000005    0.0      3.933294989895294E-5     0.329                  0.0     
  0.63                  0.01920023435744538     0.3335                 0.0      5.63212013003359E-4     0.30850000000000005    0.0      4.202078234152954E-5     0.3335                 0.0     
  0.64                  0.01937504374584801     0.338                  0.0      5.862326144474917E-4    0.31300000000000006    0.0      4.483570416451655E-5     0.338                  0.0     
  0.65                  0.019547546837907062    0.3425                 0.0      6.097299965100583E-4    0.31750000000000006    0.0      4.7780745553552936E-5    0.3425                 0.0     
  0.66                  0.01971777204668549     0.34700000000000003    0.0      6.337013766723628E-4    0.32200000000000006    0.0      5.0858900147024925E-5    0.34700000000000003    0.0     
  0.67                  0.01988574707763814     0.35150000000000003    0.0      6.581437777171127E-4    0.32650000000000007    0.0      5.407312205768327E-5     0.35150000000000003    0.0     
  0.68                  0.020051498959627375    0.35600000000000004    0.0      6.830540329428923E-4    0.33100000000000007    0.0      5.742632296511709E-5     0.35600000000000004    0.0     
  0.6900000000000001    0.020215054074089706    0.36050000000000004    0.0      7.084287913180185E-4    0.3355000000000001     0.0      6.092136928090019E-5     0.36050000000000004    0.0     
  0.7000000000000001    0.020376438182489544    0.36500000000000005    0.0      7.342645225734243E-4    0.3400000000000001     0.0      6.456107938806017E-5     0.36500000000000005    0.0     
  0.71                  0.020535676452184827    0.3695                 0.0      7.605575222343134E-4    0.34450000000000003    0.0      6.834822095636905E-5     0.3695                 0.0     
  0.72                  0.02069279348081828     0.374                  0.0      7.873039165903573E-4    0.34900000000000003    0.0      7.228550833480371E-5     0.374                  0.0     
  0.73                  0.020847813319338458    0.3785                 0.0      8.144996676042593E-4    0.35350000000000004    0.0      7.637560002237848E-5     0.3785                 0.0     
  0.74                  0.02100075949374604     0.383                  0.0      8.421405777585591E-4    0.35800000000000004    0.0      8.06210962184163E-5      0.383                  0.0     
  0.75                  0.021151655025652947    0.3875                 0.0      8.702222948406018E-4    0.36250000000000004    0.0      8.502453645319165E-5     0.3875                 0.0     
  0.76                  0.021300522451734718    0.392                  0.0      8.987403166656131E-4    0.36700000000000005    0.0      8.958839729974742E-5     0.392                  0.0     
  0.77                  0.021447383842150124    0.3965                 0.0      9.276899957378793E-4    0.37150000000000005    0.0      9.431509016756861E-5     0.3965                 0.0     
  0.78                  0.021592260817996197    0.401                  0.0      9.570665438500672E-4    0.37600000000000006    0.0      9.920695917867634E-5     0.401                  0.0     
  0.79                  0.021735174567861292    0.4055                 0.0      9.868650366207212E-4    0.38050000000000006    0.0      1.0426627912658982E-4    0.4055                 0.0     
  0.8                   0.021876145863534455    0.41000000000000003    0.0      0.001017080417970059    0.38500000000000006    0.0      1.0949525351850169E-4    0.41000000000000003    0.0     
  0.81                  0.02201519507492424     0.41450000000000004    0.0      0.0010477075045341594   0.38950000000000007    0.0      1.148960127008997E-4     0.41450000000000004    0.0     
  0.8200000000000001    0.022152342184236725    0.41900000000000004    0.0      0.0010787409900176895   0.3940000000000001     0.0      1.2047061206877341E-4    0.41900000000000004    0.0     
  0.8300000000000001    0.022287606799458466    0.42350000000000004    0.0      0.0011101754494853575   0.3985000000000001     0.0      1.2622103035844821E-4    0.42350000000000004    0.0     
  0.84                  0.02242100816718687     0.428                  0.0      0.0011420053435922688   0.403                  0.0      1.3214916802399662E-4    0.428                  0.0     
  0.85                  0.02255256518484725     0.4325                 0.0      0.001174225022753396    0.40750000000000003    0.0      1.3825684569708675E-4    0.4325                 0.0     
  0.86                  0.022682296412333297    0.437                  0.0      0.0012068287312524222   0.41200000000000003    0.0      1.4454580273005158E-4    0.437                  0.0     
  0.87                  0.022810220083104755    0.4415                 0.0      0.0012398106112901798   0.41650000000000004    0.0      1.5101769582187384E-4    0.4415                 0.0     
  0.88                  0.022936354114774016    0.446                  0.0      0.0012731647069729806   0.42100000000000004    0.0      1.5767409772671236E-4    0.446                  0.0     
  0.89                  0.0230607161192109      0.4505                 0.0      0.0013068849682411107   0.42550000000000004    0.0      1.645164960445181E-4     0.4505                 0.0     
  0.9                   0.023183323412193146    0.455                  0.0      0.0013409652547378026   0.43000000000000005    0.0      1.7154629209322302E-4    0.455                  0.0     
  0.91                  0.023304193022628025    0.4595                 0.0      0.001375399339618995    0.43450000000000005    0.0      1.7876479986191562E-4    0.4595                 0.0     
  0.92                  0.023423341701369043    0.464                  0.0      0.0014101809133042242   0.43900000000000006    0.0      1.8617324504435832E-4    0.464                  0.0     
  0.93                  0.023540785929649782    0.4685                 0.0      0.0014453035871689712   0.44350000000000006    0.0      1.9377276415213725E-4    0.4685                 0.0     
  0.9400000000000001    0.02365654192715594     0.47300000000000003    0.0      0.0014807608971788447   0.44800000000000006    0.0      2.015644037066849E-4     0.47300000000000003    0.0     
  0.9500000000000001    0.02377062565975473     0.47750000000000004    0.0      0.001516546307465941    0.45250000000000007    0.0      2.095491195093571E-4     0.47750000000000004    0.0     
  0.96                  0.023883052846900104    0.482                  0.0      0.0015526532138477836   0.457                  0.0      2.1772777598870016E-4    0.482                  0.0     
